15	f˸24ساعت§n-12634	f˸مثال	f˸"در شبانه روز باید6 بار قطره ها را در چشمهایت به فاصله ی 4 ساعت بچکانید"
178	f˸آب سفید§n-19372	f˸تعریف	f˸"بیماری ناشی از تارشدن عدسی یا قرنیه‌ی چشم که مانع از عبور آزادانه نور به شبکیه می‌شود و بینایی را مختل می‌کند"
49418	f˸رودخانه سیمینه‌رود§n-24173	f˸مثال	f˸"رودخانه‌ی سیمینه‌رود از کوهستان‌های منطقه‌ی مهاباد و سقز و بانه و کردستان عراق سرچشمه گرفته و پس از عبور از وسط شهر بوکان به دریاچه ارومیه می‌ریزد"	
49425	f˸رودخانه شادکام§n-24323	f˸مثال	f˸"شادکام (رود) که در گذشته به نام رودخانه ساریاتن مشهور بود، از چشمه‌ای به همین نام در ارتفاعات کوه آلمالیجه سرچشمه می گیرد و پس از آبیاری دشت نمدان، به دریاچه کافتر می ریزد"	
49425	f˸رودخانه شادکام§n-24323	f˸مثال	f˸"شادکام (رود) که در گذشته به نام رودخانه ساریاتن مشهور بود، از چشمه‌ای به همین نام در ارتفاعات کوه آلمالیجه سرچشمه می گیرد و پس از آبیاری دشت نمدان، به دریاچه کافتر می ریزد"	
49432	f˸رودخانه شش پیر§n-24325	f˸مثال	f˸"شش پیر (رود) مهم، از کوه های جنوب خاوری شهرستان سپیدان سرچشمه می گیرد و پس از پیوستن به رود کوچک بزغان به سمت جنوب جریان می یابد و در محلی به نام رودیان، وارد دهستان دشمن زیاری می شود"	
49438	f˸رودخانه شهرچای§n-24160	f˸مثال	f˸"شهرچایی از کوه کان کبوتر به ارتفاع 3271 متر از کوه‌های کردستان سرچشمه می‌‏گیرد"	
49439	f˸رودخانه شهرچای§n-24160	f˸تعریف	f˸"شهرچایی رودی با امتداد شمالی جنوبی و سرچشمه گرفته از کوه بزقوش است، که در نهایت وارد دریای خزر می‌شود"	
49448	f˸رودخانه علامرودشت§n-24195	f˸مثال	f˸"شاخه اصلی علامرودشت (رود) از دهستان صحرای باغ لارستان سرچشمه می گیرد و با عبور از دهستان فداغ وارد دشت علامرودشت می شود"	
49470	f˸رودخانه لعل‌بار§n-24235	f˸مثال	f˸"رودخانه‌های استان - سازمان میراث فرهنگی استان قم شاخه اصلی رودخانه لعل‌بار که از مناطق جنوبی گلپایگان و غربی خوانسار سرچشمه می‌گیرد، بعد از پیوستن با رودهای خرقاب و رود خمین، لعل بار نام می‌گیردLa'l Bar River"	
49486	f˸رودخانه مشیک§n-24186	f˸مثال	f˸"مِشیک از کوه‌های ملی آمریکا سرچشمه می‌گیرد"	
49492	f˸رودخانه مند§n-24288	f˸تعریف	f˸"رودخانه مند رودخانه‌ایست با شاخه‌های متعدد که شاخه اصلی آن به نام رودخانه قره‌آغاج از استان فارس سرچشمه می‌گیرد و پس از ورود به استان بوشهر به خلیج فارس می‌ریزد"	
49503	f˸رودخانه موراوا§n-24313	f˸مثال	f˸"این رودخانه مهم ترین رودخانه مورا رودخانه موراوا می‌باشد که نام آن نیز از همان سرچشمه می‌گیرد"	
49508	f˸رودخانه مورای§n-24175	f˸مثال	f˸"این رود از کوههای آلپ استرالیا در جنوب غربی مورای سرچشمه می‌گیرد و مرز طبیعی ایالتهای نیو ساوت ولز و ویکتوریا را تشکیل می‌دهد"	
49544	f˸رودخانه هاچال§n-24246	f˸مثال	f˸"رود از سرچشمه اش 75 کیلومتر به سمت جنوب، بر تنگه‌های مرتفع اطراف آند روان می‌شود، سپس با جریان به سمت شرق و طی مسافت 40 کیلومتر طول در دره تنگی وارد شهر هاچال می‌شود"	
49550	f˸رودخانه هراز§n-24232	f˸تعریف	f˸"رودخانه هراز که در قدیم، رودخانه هرهز نیز نامیده می‌شد از دره لار در جنوب دماوند سرچشمه می‌گیرد"	
49592	f˸رودخانه چوبوت§n-24257	f˸مثال	f˸"درازای رود چوبوت 800 کیلومتر است که از ایالت چوبوت سرچشمه گرفته و در نزدیکی شهر راوسون، از طریق خلیج انگانیو به اقیانوس اطلس می‌ریزد"	
49604	f˸رودخانه کرگانرود§n-24225	f˸مثال	f˸"رودخانه کرگانروداز ارتفاعات 2000 تا 2500 متری کوههای تالش در امتداد البرز غربی سرچشمه میگیرد"	
49605	f˸رودخانه کرگانرود§n-24225	f˸تعریف	f˸"کرگانرود بزرگ‌ترین رودخانه شهرستان تالش است که از کوه‌های تالش سرچشمه می‌گیرد و پس از عبور از وسط شهر تالش در 6 کیلومتری شرق این شهر و در روستای قروق به دریای خزر می‌ریزد"	
49609	f˸رودخانه کسیلیان§n-24164	f˸مثال	f˸"رودخانه کسلیان که از ارتفاعات شرق شهر شیرگاه سرچشمه می‌گیرد و در رود کسیلیان به رود تالار ملحق می‌شود و بدلیل برخورداری از مناظر زیبا در اطراف، سالانه پذیرای مسافران زیادی است"	
49623	f˸رودخانه گاماسیاب§n-24151	f˸مثال	f˸"این رودخانه از چشمه‌های آهکی واقع در 21 کیلومتری جنوب شرقی نهاوند واقع در غرب استان همدان، از دامنه‌های شمالی ارتفاعات گرین به نام سراب گاماسیاب سرچشمه می گیرد"	
49623	f˸رودخانه گاماسیاب§n-24151	f˸مثال	f˸"این رودخانه از چشمه‌های آهکی واقع در 21 کیلومتری جنوب شرقی نهاوند واقع در غرب استان همدان، از دامنه‌های شمالی ارتفاعات گرین به نام سراب گاماسیاب سرچشمه می گیرد"	
49629	f˸رودخانه گرگان‌رود§n-24218	f˸مثال	f˸"گرگان‌رود از رشته‌کوه آلاداغ در بجنورد سرچشمه گرفته و پس از طی 250 کیلومتر و گذشتن از نواحی گوکلان‌نشین ترکمن صحرا وارد دشت گرگان شده و از ناحیه‌ی خواجه نفس در نزدیکی بندر ترکمن به دریای خزر می‌ریزد"	
49641	f˸رودخانه گنگ§n-24221	f˸مثال	f˸"گنگ (رود) از ایالت اوتارانچاند در کشور هندوستان و از مرکز کوه‌های هیمالیا سرچشمه می‌گیرد و سراسر شمال هند و نیز کشور بنگلادش را سیراب می‌کند و سپس از طریق یک دلتا به خلیج بنگال می‌ریزد"	
49806	f˸روزشماری§n-20673	f˸ISA	f˸چشم‌انتظاری§n-20424	
50113	f˸رون§n-24203	f˸مثال	f˸"طول این رود 812 کیلومتر است و سرچشمه آن یخچال‌های رون و رشته کوه‌های آلپ در سوییس است"	
50213	f˸روگردانی§n-20677	f˸تعریف	f˸"عمل یا فرایند چشم پوشیدن از چیزی یا کاری و ترک کردن آن"	
50239	f˸روی§n-13625	f˸تعریف	f˸"آن سمت از هر چیز که معمولاً پیش چشم است یا از آن استفاده می شود"	
50273	f˸رویت کردن§v-8581	f˸تعریف	f˸"با چشم درک کردن"	
50519	f˸ریاچلو§n-24265	f˸تعریف	f˸"رود ماتانزا رودی به طول 64 کیلومتر است که در ایالت بوئنوس آیرس آرژانتین سرچشمه می گیرد و مرز جنوبی بخش فدرال بوئنوس آیرس را پدید می آورد"	
50881	f˸زار زار کردن§v-8977	f˸تعریف	f˸"جاری شدن اشک از چشم ها در اثر ناراحتی یا شادی"	
51374	f˸زجاجیه§n-22617	f˸مثال	f˸"زجاجیه باعث حفظ شکل کروی چشم می شود"	
51375	f˸زجاجیه§n-22617	f˸تعریف	f˸"@کالبدشناسی@ مایع لزج و شفافی که بیشترین بخش کره چشم را در پشت مردمک پر می کند"	
51575	f˸زردآلو§n-20464	f˸مثال	f˸"مواد مغذی موجود در زردآلو از چشم‌ها و قلب حفاظت می کنند"	
51828	f˸زلالیه§n-22634	f˸مثال	f˸"زلالیه همراه با زجاجیه فشار درونی چشم را ثابت نگاه می دارند"	
51829	f˸زلالیه§n-22634	f˸تعریف	f˸"@کالبدشناسی@ مایع شفاف و لزجی که فاصله میان قرنیه و زجاجیه را در چشم مهره داران پر می کند"	
52371	f˸زنجره§n-20426	f˸تعریف	f˸"اسم هر یک از اعضای زنجرگان با شاخکهای بلند مویین در وسط چشم، پاهای پیشین و رانهای بزرگ که اغلب آفت گیاهان هستند"	
52884	f˸زیبایی بخشیدن#v1	f˸عضو هم‌نشیم	f˸چشم نواز کردن§v-9373	
52954	f˸زیر چشمی#r1	f˸عضو هم‌نشیم	f˸زیرچشمی§r-17090	
52954	f˸زیر چشمی#r1	f˸عضو هم‌نشیم	f˸زیرچشمی§r-17090	
53120	f˸زیرچشمی#r1	f˸عضو هم‌نشیم	f˸زیرچشمی§r-17090	
53120	f˸زیرچشمی#r1	f˸عضو هم‌نشیم	f˸زیرچشمی§r-17090	
53121	f˸زیرچشمی§r-17090	f˸مرتبط با	f˸عین§n-10314	
53122	f˸زیرچشمی§r-17090	f˸مثال	f˸"دانش آموز زیرچشمی به ورقه امتحانی هم کلاسی اش نگاه کرد"	
53122	f˸زیرچشمی§r-17090	f˸مثال	f˸"دانش آموز زیرچشمی به ورقه امتحانی هم کلاسی اش نگاه کرد"	
53123	f˸زیرچشمی§r-17090	f˸تعریف	f˸"در حال نگاه کردن با پلک رو به پایین و معمولاً به حالتی که دیگران متوجه نشوند"	
53227	f˸زینت بخش بودن§v-9375	f˸ISA	f˸چشم نواز بودن§v-9374	
53818	f˸ساسکاچوان شمالی§n-24199	f˸تعریف	f˸"رود ساسکاچوان شمالی ‫ از یخچالهای طبیعی در کوههای راکی در شرق کانادا سرچشمه گرفته و به ساسکاچوان سرازیر می‌شود"	
53822	f˸ساسکاچوان§n-24200	f˸مثال	f˸"ساسکاچوان (رود) از کوههای راکی در آلبرتا سرچشمه گرفته و به دریاچه وینیپگ می‌ریزد"	
54541	f˸سایه§n-14345	f˸مثال	f˸"سایه چشمش را از لوازم بهداشتی فروشی خرید"	
54542	f˸سایه§n-14345	f˸تعریف	f˸"از لوازم آرایشی که زنان به پشت چشم می کشند"	
54725	f˸سبل§n-25802	f˸مثال	f˸"اشک چشم سبل گرفته ابر تا روان گشت سوی صحرا شد"	
54726	f˸سبل§n-25802	f˸تعریف	f˸"مرضی باشد از امراض چشم و آن مویی است که در درون پلک چشم برمی آید"	
54726	f˸سبل§n-25802	f˸تعریف	f˸"مرضی باشد از امراض چشم و آن مویی است که در درون پلک چشم برمی آید"	
54860	f˸ستاره§n-14529	f˸تعریف	f˸"هر یک از اجسام آسمانی که معمولاً شبها از زمین به صورت نقطه های نورانی چشمک زن نسبتاً ثابت دیده می شوند"	
55907	f˸سرخجه§n-20899	f˸تعریف	f˸"بیماری حاد ویروسی شبیه سرخک با تب، نزله، التهاب ملتحمه‌ی چشم و دانه‌های سرخ رنگ و بزرگ شدن غده های لنفاوی مشخص می شود"	
56416	f˸سرمه§n-21615	f˸تعریف	f˸"هر یک از ماده های آرایشی سنتی چشم"	
56650	f˸سرچشمه گرفتن#v1	f˸عضو هم‌نشیم	f˸ریشه گرفتن§v-9340	
56651	f˸سرچشمه#n1	f˸عضو هم‌نشیم	f˸آغاز§n-13261	
56652	f˸سرچشمه#n2	f˸عضو هم‌نشیم	f˸سرچشمه§n-13313	
56652	f˸سرچشمه#n2	f˸عضو هم‌نشیم	f˸سرچشمه§n-13313	
56653	f˸سرچشمه§n-13313	f˸مرتبط با	f˸آب§n-12570	
56654	f˸سرچشمه§n-13313	f˸ISA	f˸سازند§n-13298	
56655	f˸سرچشمه§n-13313	f˸مثال	f˸"چشمه ی محلات"	
56655	f˸سرچشمه§n-13313	f˸مثال	f˸"چشمه ی محلات"	
56656	f˸سرچشمه§n-13313	f˸تعریف	f˸"محلی که درآن ,آب زیرزمینی به طور طبیعی در سطح زمین ظاهر می شود"	
57137	f˸سفره ماهی§n-21095	f˸تعریف	f˸"هر یک از ماهیان با بدن پهن و مسطح، چشمانی در سطح فوقانی و دم تحلیل رفته"	
57545	f˸سلوک§n-12913	f˸مثال	f˸"رفتار و گفتار از خصائل فردی سرچشمه می گیرند"	
57954	f˸سنجاقک§n-20630	f˸تعریف	f˸"حشره‌ای از راسته‌ی سنجاقکها با بدن کم رنگ، چشمان درشت و برجسته و بالهای نازک و خوشرنگ و گیاهخوار"	
